title,director mean, director linear, director quad,writer mean, writer linear, writer quad,actor mean, actor linear, actor quad,rating, action adventure, drama, scifi fantasy, animation,comedy, kids family, art international, mystery suspense,romance, documentary, horror
black panther 2018,95.83333333333333,95.83333333333333,95.83333333333333,96.66666666666666,96.77777777777777,96.71428571428571,73.7484094224574,71.65132636994814,71.90693527569064,2,1,1,1,0,0,0,0,0,0,0,0,97
Celestial Clockwork,46.333333333333336,46.333333333333336,46.333333333333336,53.888888888888886,48.333333333333336,50.81818181818181,70.99147186147187,69.56602813852814,70.18662741213588,5,0,0,0,0,1,0,1,0,0,0,0,71
Cold Fever,56.0,56.0,56.0,88.66666666666666,90.77777777777777,89.57142857142857,86.64372383820206,81.23752818373869,83.3042564639234,5,0,1,0,0,1,0,1,0,0,0,0,95
Canadian Bacon,70.68888888888888,70.68888888888888,70.68888888888888,69.16666666666667,69.16666666666667,69.16666666666667,37.82952892339548,43.06866036808583,41.46087606268814,3,0,0,0,0,1,0,0,0,0,0,0,14
Delta of Venus,9.9,9.9,9.9,0,0,0,8.022324867267658,11.185479709455432,10.059109238714345,3,0,1,0,0,0,0,0,0,0,0,0,0
Dolores Claiborne,50.180952380952384,50.180952380952384,50.180952380952384,64.29239766081871,64.29239766081871,64.29239766081871,68.6512286028137,63.31422184442294,65.07278325058385,3,0,1,0,0,0,0,0,1,0,0,0,83
Embrace of the Vampire,23.8,23.8,23.8,0,0,0,26.971266474416886,25.82268550954901,26.525276919260723,3,0,1,0,0,0,0,0,0,0,0,1,10
Guantanamera,72.25,75.83333333333333,73.78571428571429,80.0,80.0,79.99999999999999,75.85925925925926,72.92074074074074,73.78050793650793,5,1,0,0,0,1,0,1,0,0,0,0,80
Houseguest,21.642857142857142,19.428571428571427,20.69387755102041,10.0,11.666666666666666,10.714285714285714,32.94540860544813,33.373460886939135,33.18409119356502,1,0,0,0,0,1,0,0,0,0,0,0,15
The Cold Light of Day,31.333333333333332,31.333333333333332,31.333333333333332,20.905982905982906,28.303418803418804,24.369463869463868,28.964312641618466,35.58468389250392,33.76711397612399,2,1,0,0,0,0,0,0,1,0,0,0,5
The Low Life,40.785714285714285,40.785714285714285,40.785714285714285,67.88333333333333,66.14444444444445,67.13809523809523,51.87492604441305,51.74945252462842,51.739058426734644,3,0,1,0,0,1,0,1,0,0,0,0,56
Madagascar,68.46666666666667,69.62222222222222,68.96190476190476,52.0,46.0,49.54545454545454,61.1114742754844,60.20836421039324,60.81616638425765,1,0,0,0,1,1,1,0,0,0,0,0,55
Major Payne,36.9,36.9,36.9,26.5,24.277777777777775,25.3030303030303,41.18805561844035,40.16792317886349,40.358619926707505,2,0,0,0,0,1,0,0,0,0,0,0,33
Mute Witness,53.666666666666664,53.666666666666664,53.666666666666664,81.0,81.0,81.0,75.21298665183537,75.5754535904091,75.46073983975751,3,0,1,0,0,0,0,1,1,0,0,1,81
Sicario 2015,87.25,87.25,87.25,91.33333333333333,91.33333333333333,91.33333333333333,73.74866941172719,71.23958785025859,71.73011456679359,3,1,1,0,0,0,0,0,1,0,0,0,93
Tall Tale,32.86666666666667,35.71111111111111,34.08571428571428,60.88333333333333,63.07777777777778,61.82380952380952,50.01233169882388,50.37282014613094,50.25086171379858,1,1,0,1,0,0,1,0,0,0,0,0,50
Das Versprechen,77.2,77.2,77.2,0,0,0,70.64422897364074,70.56727016707835,70.56344701241761,3,0,1,0,0,0,0,1,0,1,0,0,71
Tom and Huck,31.214285714285715,31.214285714285715,31.214285714285715,35.37239057239057,36.917845117845125,36.30045913682277,42.20055370624129,43.89247713849805,43.81388590747701,1,1,0,0,0,0,1,0,0,0,0,0,25
The Amazing Panda Adventure,23.145454545454545,23.145454545454545,23.145454545454545,23.666666666666668,24.466666666666665,23.853333333333335,26.96210881934566,30.443749012170063,29.07096697716392,1,1,0,0,0,0,1,0,0,0,0,0,20
The American President,43.00526315789474,43.00526315789474,43.00526315789474,85.97222222222223,85.97222222222223,85.97222222222223,62.56710855646914,61.41048960315778,62.123800995286715,2,0,1,0,0,1,0,0,0,1,0,0,90
Angels and Insects,52.0,52.0,52.0,62.66666666666667,65.44444444444444,63.857142857142854,65.7965145965146,62.76684165507696,63.69644238413881,3,0,1,0,0,0,0,0,0,1,0,0,71
Angus,33.333333333333336,33.333333333333336,33.333333333333336,26.666666666666668,26.666666666666668,26.666666666666668,42.86582986906482,43.961641015657605,43.497259549114496,2,0,1,0,0,1,1,0,0,1,0,0,40
Anne Frank Remembered,97.0,97.0,97.0,97.0,97.0,97.0,56.52598837459394,52.62562753084226,54.49909572009412,1,0,0,0,0,0,0,1,0,0,1,0,97
Apollo 13,61.08831908831909,61.08831908831909,61.08831908831909,61.55555555555556,61.59259259259259,61.57142857142857,64.48202650981716,60.35648959529151,61.10191371339268,1,1,1,0,0,0,0,0,0,0,0,0,95
Assassins,55.43382352941177,55.43382352941177,55.43382352941177,52.55196078431373,52.78246187363834,52.62103386809269,28.854150032697,30.845448007367857,29.906448079187896,3,1,0,0,0,0,0,0,1,0,0,0,15
An Awfully Big Adventure,56.417582417582416,56.417582417582416,56.417582417582416,49.392857142857146,49.392857142857146,49.392857142857146,48.488933804270395,51.1898375360507,50.65727921698778,3,0,1,0,0,1,0,1,0,0,0,0,38
The White Balloon,92.32142857142857,92.32142857142857,92.32142857142857,87.21818181818182,87.21818181818182,87.21818181818182,82.04761904761904,82.55952380952381,82.55952380952381,5,0,1,0,0,0,1,1,0,0,0,0,80
Balto,45.42857142857143,45.42857142857143,45.42857142857143,50.53333333333333,56.54666666666666,54.60533333333333,50.94272685229196,51.50267585960163,51.44168535031105,0,1,0,0,1,0,1,0,0,0,0,0,50
Batman Forever,35.984189723320156,35.984189723320156,35.984189723320156,32.490058479532166,32.07836257309942,32.22807017543859,44.291648497452336,46.05643242776237,45.409124831126256,2,1,0,1,0,0,0,0,0,0,0,0,39
Before Sunrise,78.76470588235294,78.76470588235294,78.76470588235294,90.32083333333333,87.09444444444443,88.93809523809523,91.05302712630933,88.08356923515707,88.86457936392517,3,0,1,0,0,1,0,0,0,1,0,0,100
Beyond Rangoon,58.705882352941174,58.705882352941174,58.705882352941174,38.0,37.666666666666664,37.857142857142854,41.59643338137337,42.594792558615964,42.02325033125686,3,1,1,0,0,0,0,0,0,0,0,0,39
Billy Madison,27.142857142857142,27.142857142857142,27.142857142857142,24.61843434343434,23.11237373737374,23.6366391184573,47.088823232831835,44.85766019199496,45.37516666392944,2,0,0,0,0,1,0,0,0,0,0,0,46
Blue in the Face,33.46886446886447,39.847374847374844,36.202511773940344,41.66666666666667,39.38888888888889,40.6904761904762,47.12562474634847,48.36765439311438,47.62307122936722,3,0,0,0,0,1,0,1,0,0,0,0,43
Mouth to Mouth,43.0,43.0,43.0,39.83333333333333,41.266666666666666,40.41333333333333,51.62139804639805,51.82723302338687,51.60655413871453,3,0,0,0,0,1,0,1,0,1,0,0,33
Boys on the Side,60.38961038961039,60.38961038961039,60.38961038961039,51.955555555555556,51.955555555555556,51.955555555555556,62.38270840865049,59.14107149224007,60.0570311165734,3,0,1,0,0,1,0,0,0,0,0,0,73
The Brady Bunch Movie,30.5,30.5,30.5,0,0,0,51.00037331224622,48.89818158957194,49.56104032880178,2,0,0,0,0,1,0,0,0,0,0,0,63
Bushwhacked,11.333333333333334,11.333333333333334,11.333333333333334,17.541666666666668,17.116666666666667,17.463333333333335,35.50856791536852,39.83969376177937,38.80612439531802,2,1,0,0,0,1,1,0,0,0,0,0,11
Butterfly Kiss,66.58769230769231,66.58769230769231,66.58769230769231,76.34285714285714,76.34285714285714,76.34285714285714,67.28488779589586,67.35602420876614,67.9316719260888,3,0,1,0,0,1,0,1,0,0,0,0,77
Bye Bye Love,25.047619047619047,25.047619047619047,25.047619047619047,27.111111111111114,31.166666666666668,28.954545454545457,37.73986713261663,40.157474603117414,39.01383821039852,2,0,0,0,0,1,0,0,0,0,0,0,19
Carrington,40.833333333333336,40.833333333333336,40.833333333333336,51.75238095238095,51.75238095238095,51.75238095238095,56.183653160286056,57.520925575533184,57.33676785181592,3,0,1,0,0,0,0,0,0,1,0,0,52
Casper,52.57142857142857,52.57142857142857,52.57142857142857,33.333333333333336,36.88888888888889,34.857142857142854,42.29065978106311,42.44561202456715,41.779302821015676,1,0,1,1,0,0,1,0,0,0,0,0,44
Catwalk,29.0,29.0,29.0,0,0,0,48.07376898651369,49.171113027553574,49.05671618049154,3,0,0,0,0,0,0,0,0,0,1,0,29
Circle of Friends,48.464285714285715,48.464285714285715,48.464285714285715,49.285714285714285,49.285714285714285,49.285714285714285,68.73625914282326,65.86289932554838,67.03112707473402,2,0,1,0,0,0,0,1,0,1,0,0,78
Clockers,72.66129032258064,72.66129032258064,72.66129032258064,57.144513574660635,54.55788084464555,56.03595669036846,58.08490772320267,56.08569018977757,56.63171496481588,3,0,1,0,0,0,0,0,1,0,0,0,68
Clueless,46.25,46.25,46.25,50.714285714285715,50.714285714285715,50.714285714285715,58.66033190946873,53.8365171301028,55.17609121984945,2,0,0,0,0,1,0,0,0,1,0,0,81
Congo,58.2,58.2,58.2,60.84444444444444,60.84444444444444,60.84444444444444,36.05967335302928,38.91435921625064,37.96780416130798,2,1,0,1,0,0,0,0,1,0,0,0,23
Crimson Tide,53.35294117647059,53.35294117647059,53.35294117647059,76.3018315018315,74.71941391941392,74.8977022977023,59.05385789331275,55.17610972609346,55.71290318187293,3,1,1,0,0,0,0,0,0,0,0,0,87
Cutthroat Island,34.208333333333336,34.208333333333336,34.208333333333336,51.64047619047619,46.72698412698412,49.53469387755102,47.81423580987784,47.79660888873746,47.46461367667952,2,1,0,0,0,0,1,0,0,0,0,0,38
Cyclo,81.0,81.0,81.0,74.93333333333334,75.89999999999999,75.37272727272725,74.82913165266106,74.65756302521008,75.01797385620915,5,0,1,0,0,0,0,1,0,0,0,0,73
Dangerous Minds,53.333333333333336,53.333333333333336,53.333333333333336,39.076190476190476,39.076190476190476,39.076190476190476,41.10380560684819,44.64389624638685,43.43938179391253,3,0,1,0,0,0,0,0,0,0,0,0,29
Dead Man,78.61904761904762,78.61904761904762,78.61904761904762,80.41758241758242,80.41758241758242,80.41758241758242,62.27354960116471,59.20547417204864,60.215726215908745,3,0,1,1,0,0,0,0,0,0,0,0,71
Dead Presidents,48.595238095238095,47.01587301587301,47.91836734693878,59.44444444444445,56.388888888888886,58.8030303030303,48.6460379936849,47.76518570195946,48.17693498070537,3,0,1,0,0,0,0,0,0,0,0,0,45
Denise Calls Up,77.0,77.0,77.0,77.0,77.0,77.0,55.96981523345868,53.587433341749005,54.11941342044442,2,0,0,0,0,1,0,0,0,0,0,0,77
Desperado,53.228070175438596,53.228070175438596,53.228070175438596,52.875,52.875,52.875,54.941808592338575,53.16811093667655,53.59959877672945,3,1,0,0,0,0,0,0,1,0,0,0,62
Destiny Turns on the Radio,12.0,12.0,12.0,41.476190476190474,41.476190476190474,41.476190476190474,43.529083663603025,46.38201974882022,46.22781204335663,3,1,1,0,0,1,0,0,0,0,0,0,12
Devil in a Blue Dress,65.6,65.6,65.6,80.83333333333333,80.83333333333333,80.83333333333333,58.895476227340055,56.04954105709137,56.18327698102941,3,0,1,0,0,0,0,0,1,0,0,0,87
Die Hard with a Vengeance,39.0,39.0,39.0,41.05555555555556,41.05555555555556,41.05555555555556,51.913665830062676,51.18516685080276,51.346273015912644,3,1,0,0,0,0,0,0,1,0,0,0,52
Drunks,50.0,50.0,50.0,50.0,50.0,50.0,55.013783828081195,56.604745406749224,56.45254742591043,3,0,1,0,0,0,0,0,0,0,0,0,50
Empire Records,43.07142857142857,43.07142857142857,43.07142857142857,26.0,26.0,26.0,36.83935736681335,39.7856345310543,38.43756544161101,2,0,1,0,0,1,0,0,0,0,0,0,26
The Fantasticks,41.33918128654971,41.33918128654971,41.33918128654971,0,0,0,51.216990403148806,51.62154269367067,51.29569338903875,1,0,1,0,0,1,0,0,0,1,0,0,50
Father of the Bride Part II,49.0,49.0,49.0,51.34975490196078,50.19428104575163,50.8545518207283,51.09264507593639,51.80787742530721,51.81152013012463,1,0,0,0,0,1,0,0,0,0,0,0,48
Feast of July,44.75,44.75,44.75,67.0,67.0,67.0,62.79539868889911,60.536249110706606,61.31096125735856,3,0,1,0,0,0,0,1,0,0,0,0,67
First Knight,62.38095238095238,62.38095238095238,62.38095238095238,48.86538461538461,52.15384615384615,50.27472527472527,53.17511276995404,55.05825035428644,54.66418314138783,2,1,1,0,0,1,0,0,0,1,0,0,45
Flirt,63.49090909090909,63.49090909090909,63.49090909090909,69.4888888888889,69.4888888888889,69.4888888888889,70.88121606464006,67.89430861585201,68.63768369807623,3,0,1,0,0,1,0,0,0,1,0,0,80
The Flower of My Secret,78.94736842105263,78.94736842105263,78.94736842105263,0,0,0,71.37822177822177,69.23864283864285,70.00927880290371,3,0,1,0,0,1,0,1,0,0,0,0,83
Fluke,24.333333333333332,24.333333333333332,24.333333333333332,27.0,27.0,27.0,39.59448252084053,43.67645998422264,42.37713786265657,1,0,1,1,0,0,1,0,0,0,0,0,27
Forget Paris,66.5,66.5,66.5,40.82796913231696,39.90805571240354,40.423309891689335,49.976891279959915,50.12394112050998,50.1017825919081,2,0,1,0,0,1,0,0,0,1,0,0,50
Four Rooms,67.44216711650922,62.89748088169141,64.675771479982,63.29512362637362,61.8571978021978,61.08375824175824,42.20442796505476,45.82327094368554,44.44974254910532,3,0,0,0,0,1,0,0,0,0,0,0,14
Frank and Ollie,68.66666666666667,68.66666666666667,68.66666666666667,46.333333333333336,46.333333333333336,46.333333333333336,82.82388591800357,83.27970923906751,82.89011167086036,1,0,0,0,0,0,1,0,0,0,1,0,88
Frankie Starlight,73.66666666666667,73.66666666666667,73.66666666666667,71.0,71.0,71.0,66.10736937827731,64.56525411188305,65.30706734628332,3,0,1,0,0,0,0,0,0,0,0,0,71
French Kiss,54.472727272727276,54.472727272727276,54.472727272727276,54.47222222222222,54.47222222222222,54.47222222222222,50.3682517483931,50.68540171462216,50.60605078558189,2,0,1,0,0,1,0,0,0,1,0,0,45
Friday,55.111111111111114,55.111111111111114,55.111111111111114,26.96666666666667,27.88888888888889,27.36190476190476,46.991957571140816,43.028387514781336,43.589389330775504,3,0,0,0,0,1,0,0,0,0,0,0,74
From the Journals of Jean Seberg,100.0,100.0,100.0,85.66666666666667,85.66666666666667,85.66666666666667,52.29666666666667,52.29666666666667,52.29666666666667,5,0,1,0,0,0,0,0,0,0,1,0,100
Funny Bones,38.888888888888886,38.888888888888886,38.888888888888886,50.15,46.53333333333333,48.6,61.50149880482334,61.13178496673815,61.33103016788616,3,0,1,0,0,1,0,0,0,0,0,0,61
French Twist,55.0,55.0,55.0,54.333333333333336,54.666666666666664,54.54545454545455,64.1378169449598,65.65205936920223,65.91196964074885,3,0,0,0,0,1,0,1,0,0,0,0,55
Get Shorty,50.81818181818182,50.81818181818182,50.81818181818182,66.28947368421052,66.28947368421052,66.28947368421052,56.258289328099515,54.459563726886955,55.017375271291826,3,0,0,0,0,1,0,0,0,0,0,0,87
Go Now,66.58769230769231,66.58769230769231,66.58769230769231,60.0,60.0,60.0,60.27860700434249,59.840935618202856,59.935746743047126,3,0,1,0,0,0,0,0,0,0,0,0,60
GoldenEye,51.43939393939394,51.43939393939394,51.43939393939394,59.64047619047619,64.10357142857141,61.97759740259739,59.088751127708,56.03702426528819,57.34621309730102,2,1,0,0,0,0,0,0,1,0,0,0,78
A Goofy Movie,69.4,69.4,69.4,42.660714285714285,46.107142857142854,44.13775510204082,50.79841903415347,51.54792768057857,51.16176236621788,0,0,0,0,1,1,1,0,0,0,0,0,53
Gordy,0,0,0,35.111111111111114,39.666666666666664,37.18181818181818,35.40137566137567,37.3845701058201,36.836884920634915,0,0,0,0,0,1,1,0,0,0,0,0,26
Grumpier Old Men,24.236363636363638,24.236363636363638,24.236363636363638,24.607142857142858,24.607142857142858,24.607142857142858,33.50739680093814,38.168522795049356,36.33270608998518,2,0,0,0,0,1,0,0,0,0,0,0,17
Habit,61.666666666666664,61.666666666666664,61.666666666666664,69.33333333333333,69.33333333333333,69.33333333333333,71.46966191703034,71.04503228110039,71.03738042458411,3,0,0,0,0,0,0,0,1,0,0,1,72
Hackers,41.0,41.0,41.0,24.666666666666668,24.666666666666668,24.666666666666668,44.448986551024156,46.835371635755216,46.2091015672642,2,1,0,1,0,0,0,0,1,0,0,0,32
La Haine,53.666666666666664,53.666666666666664,53.666666666666664,85.1,85.1,85.1,87.77528875954658,86.34305697631727,87.40653215275282,3,0,1,0,0,0,0,1,0,0,0,0,100
Heavy,70.11111111111111,70.11111111111111,70.11111111111111,69.63888888888889,69.63888888888889,69.63888888888889,62.92199075088999,62.3102767592403,62.335156574914386,3,0,1,0,0,0,0,0,0,0,0,0,86
Higher Learning,47.0,47.0,47.0,59.80952380952381,59.80952380952381,59.80952380952381,46.87828417070846,46.68214125069549,46.95402883736109,3,0,1,0,0,0,0,0,0,0,0,0,49
Hollow Reed,63.666666666666664,63.666666666666664,63.666666666666664,50.8,50.8,50.8,61.735753368049416,62.009039107766206,62.75861455959451,3,0,1,0,0,0,0,0,0,0,0,0,83
Rumble in the Bronx,63.47222222222222,58.2962962962963,61.25396825396825,58.733333333333334,60.42222222222222,59.457142857142856,64.7358727974475,64.07598797706822,64.23396639633229,3,1,0,0,0,1,0,1,0,0,0,0,79
House,0,0,0,0,0,0,51.28486283400316,49.821696351480384,51.09428748092565,5,0,0,0,0,1,0,0,0,0,0,0,20
